ISSN (Online)	ISSN (Print)	JournalTitle	JrId	MedAbbr	NlmId
 1348-2165		 Journal of water and environment technology	 38562	 J Water Environ Technol	 101295905
	 0578-1345	 Zhonghua lin xue ji kan = Quarterly journal of Chinese forestry	 38563	 Zhonghua Linxue Jikan	 101545864
 2041-6539	 2041-6520	 Chemical science	 38564	 Chem Sci	 101545951
	 1683-0377	 Trudy BGTU	 38565	 Trudy BGTU	 101546050
	 0029-814X	 Haiyang yu huzhao = Oceanologia et limnologia sinica	 38566	 Haiyang Yu Huzhao	 101546358
	 1225-8598	 Han-gug eoryu hag-hoeji = Korean Journal of Ichthyology	 38567	 Han Gug Eoryu Hag Hoeji	 101546729
 1944-3986	 1944-3994	 Desalination and water treatment	 38568	 Desalination Water Treat	 101546871
 1861-3837	 1861-3829	 Journal of plant diseases and protection : scientific journal of the German Phytomedical Society (DPG)	 38569	 J Plant Dis Prot (2006)	 101466454
 2044-5423	 2044-5415	 BMJ quality & safety	 38570	 BMJ Qual Saf	 101546984
 2092-7258	 1738-1061	 Korean journal of pediatrics	 38571	 Korean J Pediatr	 101215374
 1998-393X	 0973-029X	 Journal of oral and maxillofacial pathology : JOMFP	 38572	 J Oral Maxillofac Pathol	 101227995
 2092-9129	 1738-7949	 The Korean journal of hematology	 38573	 Korean J Hematol	 101486388
 2092-7193		 Epidemiology and health	 38574	 Epidemiol Health	 101519472
 2036-3613	 2036-3605	 Rare tumors	 38575	 Rare Tumors	 101526926
 2093-6931	 2093-4777	 International neurourology journal	 38576	 Int Neurourol J	 101534513
 0975-7406	 0976-4879	 Journal of pharmacy & bioallied sciences	 38577	 J Pharm Bioallied Sci	 101537209
 2090-1372	 2090-1364	 Hepatitis research and treatment	 38578	 Hepat Res Treat	 101542600
 2090-2832	 2090-2824	 International journal of vascular medicine	 38579	 Int J Vasc Med	 101542608
 2090-1860	 2090-1852	 Neurology research international	 38580	 Neurol Res Int	 101543314
 1178-7015		 Clinical, cosmetic and investigational dermatology	 38581	 Clin Cosmet Investig Dermatol	 101543449
 1178-6965		 Journal of asthma and allergy	 38582	 J Asthma Allergy	 101543450
 2090-2212	 2090-2204	 Journal of aging research	 38583	 J Aging Res	 101543460
 2090-0430	 2090-0422	 Autoimmune diseases	 38584	 Autoimmune Dis	 101546750
 2090-133X	 2090-1321	 Depression research and treatment	 38585	 Depress Res Treat	 101546752
 2090-2255	 2090-2247	 Biochemistry research international	 38586	 Biochem Res Int	 101546751
 2090-2158	 2090-214X	 International journal of nephrology	 38587	 Int J Nephrol	 101546753
 2090-2913	 2090-2905	 Journal of skin cancer	 38588	 J Skin Cancer	 101546757
 1664-2295		 Frontiers in neurology	 38589	 Front Neurol	 101546899
 2041-2223		 Investigative genetics	 38590	 Investig Genet	 101546908
 1984-4689	 1984-4670	 Zoologia (Curitiba, Brazil)	 38591	 Zoologia (Curitiba)	 101508144
 1861-6909	 1813-7253	 European review of aging and physical activity : official journal of the European Group for Research into Elderly and Physical Activity	 38592	 Eur Rev Aging Phys Act	 101284836
 1557-6272		 Evidence-based child health : a Cochrane review journal	 38593	 Evid Based Child Health	 101296879
 1612-4766	 1612-4758	 Journal of pest science	 38594	 J Pest Sci (2004)	 101312656
 1874-5504	 1874-5490	 Neuroethics	 38595	 Neuroethics	 101468977
 1864-5917	 1864-5909	 Evolutionary intelligence	 38596	 Evol Intell	 101475575
 1943-4596	 1943-4588	 Current breast cancer reports	 38597	 Curr Breast Cancer Rep	 101498096
 1878-5085	 1878-5077	 The EPMA journal	 38598	 EPMA J	 101517307
 2036-7902	 2036-3176	 Critical ultrasound journal	 38599	 Crit Ultrasound J	 101517925
 2041-4145	 2041-4137	 Frontline gastroenterology	 38600	 Frontline Gastroenterol	 101528589
 1869-3482	 1869-3474	 Nuclear medicine and molecular imaging	 38601	 Nucl Med Mol Imaging	 101530478
 2154-1272	 2154-1264	 Transcription	 38602	 Transcription	 101530967
 2159-3078	 2158-7833	 EMS world	 38603	 EMS World	 101547538
 2092-9935	 1738-5997	 Electrolyte & blood pressure : E & BP	 38604	 Electrolyte Blood Press	 101249217
 1998-4057	 0972-4052	 Journal of Indian Prosthodontic Society	 38605	 J Indian Prosthodont Soc	 101255941
 1464-3626	 0015-752X	 Forestry (London, England)	 38606	 Forestry (Lond)	 101531199
 2093-3673	 2093-3665	 Anatomy & cell biology	 38607	 Anat Cell Biol	 101531987
 0974-942X	 0972-8279	 Journal of maxillofacial and oral surgery	 38608	 J Maxillofac Oral Surg	 101538309
 1943-3883	 1943-3875	 Craniomaxillofacial trauma & reconstruction	 38609	 Craniomaxillofac Trauma Reconstr	 101541666
 2093-7830	 2093-7822	 Journal of the Korean Society of Coloproctology	 38610	 J Korean Soc Coloproctol	 101546077
 2155-7780	 2155-7772	 The primary care companion for CNS disorders	 38611	 Prim Care Companion CNS Disord	 101547532
 0975-2137	 0975-1475	 Journal of forensic dental sciences	 38612	 J Forensic Dent Sci	 101547241
 0976-2795	 0972-6748	 Industrial psychiatry journal	 38613	 Ind Psychiatry J	 101547239
	 1002-5464	 Sheng wu ji shu tong bao = Biotechnology bulletin	 38614	 Sheng Wu Ji Shu Tong Bao	 101547244
	 0800-1820	 Agarica : mykologisk tidsskrift	 38615	 Agarica	 101547927
 1814-5558	 1814-554X	 Vestnik VOGiS	 38616	 Vestn VOGiS	 101548221
 1678-4162	 0102-0935	 Arquivo brasileiro de medicina veterinaria e zootecnia	 38617	 Arq Bras Med Vet Zootec	 8700023
 1314-2003	 1314-2011	 PhytoKeys	 38618	 PhytoKeys	 101548554
 1557-8917	 0898-8838	 Advances in inorganic chemistry	 38619	 Adv Inorg Chem	 8801244
 2042-8731	 1746-5729	 Journal of public mental health	 38620	 J Public Ment Health	 101252769
 1939-5086	 1939-5078	 Wiley interdisciplinary reviews. Cognitive science	 38621	 Wiley Interdiscip Rev Cogn Sci	 101524169
 1744-2656	 1744-2648	 Evidence & policy : a journal of research, debate and practice	 38622	 Evid Policy	 101544368
 1434-6036	 1434-6028	 The European physical journal. B	 38623	 Eur Phys J B	 101544377
 1861-0714	 1861-0706	 Clinical research in cardiology supplements	 38624	 Clin Res Cardiol Suppl	 101538987
 1029-0362	 1023-6244	 Marine and freshwater behaviour and physiology	 38625	 Mar Freshw Behav Physiol	 101548682
	 0232-4598	 Boletus	 38626	 Boletus	 101548638
 1663-9812		 Frontiers in pharmacology	 38627	 Front Pharmacol	 101548923
	 0021-8596	 The Journal of agricultural science	 38628	 J Agric Sci	 17830190R
 2159-0354		 Medicare & medicaid research review	 38629	 Medicare Medicaid Res Rev	 101548901
 2156-8944	 2156-8952	 ACS combinatorial science	 38630	 ACS Comb Sci	 101540531
	 0374-8111	 Han'guk Susan Hakhoe chi = Bulletin of the Korean Fisheries Society	 38631	 Hangug Susan Haghoi Ji	 9890464
	 0857-8664	 Chunlasan phantusart	 38632	 Chunlasan Phantusart	 101549356
	 1864-5755	 Vertebrate zoology	 38633	 Vertebr Zool	 101549447
 2210-2612		 International journal of surgery case reports	 38634	 Int J Surg Case Rep	 101529872
 2156-5376	 2161-8313	 Advances in nutrition (Bethesda, Md.)	 38635	 Adv Nutr	 101540874
 2042-6410		 Biology of sex differences	 38636	 Biol Sex Differ	 101548963
 2008-9872	 0365-3439	 Archives of Razi Institute	 38637	 Arch Razi Inst	 101549567
 2158-8341	 2158-8333	 Innovations in clinical neuroscience	 38638	 Innov Clin Neurosci	 101549695
	 1005-3395	 Re dai ya re dai zhi wu xue bao = Journal of tropical and subtropical botany	 38639	 J Trop Subtrop Botany	 101549945
	 1004-5759	 Cao ye xue bao = Acta prataculturae Sinica = Caoye xuebao	 38640	 Cao Ye Xue Bao	 101550082
 1469-5073	 0016-6723	 Genetics research	 38641	 Genet Res (Camb)	 101550220
 1177-3936		 Integrative medicine insights	 38642	 Integr Med Insights	 101312780
 1998-4014	 0973-1229	 Mens sana monographs	 38643	 Mens Sana Monogr	 101506580
 1663-3563		 Frontiers in synaptic neuroscience	 38644	 Front Synaptic Neurosci	 101548972
 1664-042X		 Frontiers in physiology	 38645	 Front Physiol	 101549006
 1178-6949		 Advances and applications in bioinformatics and chemistry : AABC	 38646	 Adv Appl Bioinform Chem	 101550215
 1178-6973		 Infection and drug resistance	 38647	 Infect Drug Resist	 101550216
 1178-7058		 International journal of nephrology and renovascular disease	 38648	 Int J Nephrol Renovasc Dis	 101550217
	 1819-1541	 Asian journal of plant pathology	 38649	 Asian J Plant Pathol	 101550537
 1993-078X	 1993-0771	 Comparative cytogenetics	 38650	 Comp Cytogenet	 101503807
 2209-1491	 1833-3516	 Diving and hyperbaric medicine	 38651	 Diving Hyperb Med	 101282742
 1878-6847	 0924-6479	 The International journal of risk & safety in medicine	 38652	 Int J Risk Saf Med	 9100907
 1179-1365		 Drug, healthcare and patient safety	 38653	 Drug Healthc Patient Saf	 101544775
 1664-302X		 Frontiers in microbiology	 38654	 Front Microbiol	 101548977
 2325-6702	 2325-6699	 Advance for NPs & PAs	 38655	 Adv NPs PAs	 101549550
 1664-1078		 Frontiers in psychology	 38656	 Front Psychol	 101550902
	 0034-0944	 Realites. Edition Medecine	 38657	 Realites	 0246306
	 0005-3856	 Baessler-Archiv; Beitrage zur Volkerkunde	 38658	 Baessler Arch Beitr Volkerkd	 0253653
	 0532-3606	 Les Journees scientifiques du Centre national de coordination des etudes et recherches sur la nutrition et l'alimentation	 38659	 Journ Sci Cent Nat Coord Etud Rech Nutr Aliment	 7507226
	 0076-3721	 Memoirs and proceedings of the Manchester Literary & Philosophical Society. Manchester Literary and Philosophical Society	 38660	 Mem Proc Manch Lit Philos Soc	 9428619
		 Deaconess Hospital Medical Bulletin	 38661	 Deaconess Hosp Med Bull	 9878016
		 Les cahiers du Bazadais	 38662	 Cah Bazadais	 101147131
	 1641-8190	 Polish botanical journal	 38663	 Pol Bot J	 101550945
	 0070-2196	 Current topics in surgical research	 38664	 Curr Top Surg Res	 0224707
	 0739-7380	 Diabetic nephropathy : DN	 38665	 Diabet Nephrop	 8303448
	 1535-2609	 Audiology today : bulletin of the American Academy of Audiology	 38666	 Audiol Today	 9433362
 1945-337X	 1078-4497	 Federal practitioner : for the health care professionals of the VA, DoD, and PHS	 38667	 Fed Pract	 9500574
 1872-7115	 0167-739X	 Future generations computer systems : FGCS	 38668	 Future Gener Comput Syst	 9881585
 1087-6545	 0883-9514	 Applied artificial intelligence : AAI	 38669	 Appl Artif Intell	 9882296
 1680-7324	 1680-7316	 Atmospheric chemistry and physics	 38670	 Atmos Chem Phys	 101214388
 1571-0661		 Electronic notes in theoretical computer science	 38671	 Electron Notes Theor Comput Sci	 101237896
	 1935-2514	 Alzheimer's disease research journal	 38672	 Alzheimers Dis Res J	 101299315
 1868-7083	 1868-7075	 Clinical epigenetics	 38673	 Clin Epigenetics	 101516977
 1868-6966	 1868-6958	 Cancer nanotechnology	 38674	 Cancer Nanotechnol	 101516978
 1867-3899	 1867-3880	 ChemCatChem	 38675	 ChemCatChem	 101520610
 1868-1891	 1868-1883	 Hormone molecular biology and clinical investigation	 38676	 Horm Mol Biol Clin Investig	 101538885
 1574-0862	 0169-5150	 Agricultural economics (Amsterdam, Netherlands)	 38677	 Agric Econ	 101544386
 2155-1790		 Cell medicine	 38678	 Cell Med	 101544564
 1538-0645		 Contributions to economic analysis & policy	 38679	 Contrib Econ Analysis Policy	 101544753
 1468-0432	 0968-6673	 Gender, work, and organization	 38680	 Gend Work Organ	 101544781
 1945-5070	 1533-774X	 Harvard health policy review : a student publication of the Harvard Interfaculty Initiative in Health Policy	 38681	 Harvard Health Policy Rev	 101544796
		 Proceedings of the ... IEEE International Conference on Information Reuse and Integration. IEEE International Conference on Information Reuse and Integration	 38682	 Proc IEEE Int Conf Inf Reuse Integr	 101544822
 2472-9671	 2325-6516	 Proceedings. IEEE International Conference on Semantic Computing	 38683	 Proc IEEE Int Conf Semant Comput	 101544842
 1179-1535		 Hepatic medicine : evidence and research	 38684	 Hepat Med	 101544801
 1664-0640		 Frontiers in psychiatry	 38685	 Front Psychiatry	 101545006
	 0390-7392	 Archivio ed atti. Societa italiana di chirurgia	 38686	 Arch Atti	 20820750R
 2045-709X		 Chiropractic & manual therapies	 38687	 Chiropr Man Therap	 101551481
 1532-2289	 0038-7010	 Spectroscopy letters; an international journal for rapid communication	 38688	 Spectrosc Lett	 1276432
	 0882-9233	 Surgical research communications	 38689	 Surg Res Commun	 8809439
 1873-1252	 0925-3467	 Optical Materials	 38690	 Opt Mater (Amst)	 9885806
 1552-7565	 1077-8004	 Qualitative inquiry : QI	 38691	 Qual Inq	 9888853
	 1085-9586	 ASHA leader	 38692	 ASHA Lead	 9890324
	 0278-0771	 Journal of ethnobiology	 38693	 J Ethnobiol	 9892383
 1741-3109	 1468-7941	 Qualitative research : QR	 38694	 Qual Res	 101134004
	 1742-3287	 Oral biosciences & medicine : OBM	 38695	 Oral Biosci Med	 101225173
 1937-8289		 The Internet journal of microbiology	 38696	 Internet J Microbiol	 101233842
 1553-8338	 1553-8605	 Journal of LGBT Issues in counseling	 38697	 J LGBT Issues Couns	 101238595
 1346-8030	 1346-0714	 Transactions of the Japanese Society for Artificial Intelligence = Jinko Chino Gakkai ronbunshi	 38698	 Trans Jpn Soc Artif Intell	 101301947
	 1936-9255	 Psychopharm review : timely reports in psychopharmacology and device-based therapies	 38699	 Psychopharm Rev	 101316184
 1557-7112		 Social medicine (Social Medicine Publication Group)	 38700	 Soc Med (Soc Med Publ Group)	 101474372
 1989-1342	 1888-4296	 Journal of optometry	 38701	 J Optom	 101482903
 1945-3345	 1945-3337	 Pharmaceutical outsourcing	 38702	 Pharm Outsourcing	 101499960
 1759-7218	 1759-720X	 Therapeutic advances in musculoskeletal disease	 38703	 Ther Adv Musculoskelet Dis	 101517322
 1916-0526	 1916-0518	 Journal of interventional oncology	 38704	 J Interv Oncol	 101528376
 1918-3011	 1918-3003	 Journal of clinical medicine research	 38705	 J Clin Med Res	 101538301
 1875-8835	 1069-2509	 Integrated computer-aided engineering	 38706	 Integr Comput Aided Eng	 101544483
 0976-0539	 0975-7899	 International journal of head and neck surgery	 38707	 Int J Head Neck Surg	 101544568
 2035-6005	 2036-7996	 Journal of nucleic acids investigation	 38708	 J Nucleic Acids Investig	 101544718
 1879-2081	 0140-7007	 Revue internationale du froid	 38709	 Int J Refrig	 101544778
 1744-5051	 1387-3954	 Mathematical and computer modelling of dynamical systems	 38710	 Math Comput Model Dyn Syst	 101544784
 2013-8830	 1696-2281	 SORT (Barcelona)	 38711	 Sort (Barc)	 101545062
	 1949-8241	 Technology and innovation	 38712	 Technol Innov	 101545118
 1447-9583	 1447-9532	 The international journal of diversity in organisations, communities and nations	 38713	 Int J Divers Organ Communities Nations	 101545287
 2073-4360		 Polymers	 38714	 Polymers (Basel)	 101545357
	 1913-5122	 Vibrant	 38715	 Vibrant	 101545401
 2689-5420	 1540-1367	 Practical neurology (Fort Washington, Pa.)	 38716	 Pract Neurol (Fort Wash Pa)	 101545459
 2081-6936	 2081-3856	 Translational neuroscience	 38717	 Transl Neurosci	 101550327
 1851-2372	 0373-580X	 Boletin de la Sociedad Argentina de Botanica. Sociedad Argentina de Botanica	 38718	 Bol Soc Argent Bot	 101551590
	 1613-9801	 Biodiversity and ecology = Biodiversitat und Okologie	 38719	 Biodivers Ecol	 101551934
 1439-863X	 1439-8621	 Limnology	 38720	 Limnology (Tokyo)	 101552165
	 0117-4185	 International rice research notes	 38721	 Int Rice Res Notes	 101552168
	 1212-1975	 Czech journal of genetics and plant breeding = Genetika a eslechteenai	 38722	 Czech J Genet Plant Breed	 101518454
	 0078-4303	 Proceedings of the Oklahoma Academy of Science	 38723	 Proc Okla Acad Sci	 7505882
 1891-5396	 1502-4873	 Fauna norvegica	 38724	 Fauna Norv	 101552316
 1754-5706	 1754-5692	 Energy & environmental science	 38725	 Energy Environ Sci	 101513897
 1756-2880	 1756-2872	 Therapeutic advances in urology	 38726	 Ther Adv Urol	 101487328
 1178-6450		 Clinical medicine. Case reports	 38727	 Clin Med Case Rep	 101515695
 2075-0528	 2075-051X	 Sultan Qaboos University medical journal	 38728	 Sultan Qaboos Univ Med J	 101519915
 1916-257X		 International journal of therapeutic massage & bodywork	 38729	 Int J Ther Massage Bodywork	 101539415
 2041-7314		 Journal of tissue engineering	 38730	 J Tissue Eng	 101550131
 0974-7826	 0974-2727	 Journal of laboratory physicians	 38731	 J Lab Physicians	 101551511
 2042-4280		 Herpesviridae	 38732	 Herpesviridae	 101551529
 2229-5488	 2229-3485	 Perspectives in clinical research	 38733	 Perspect Clin Res	 101551517
 2190-4286		 Beilstein journal of nanotechnology	 38734	 Beilstein J Nanotechnol	 101551563
 0976-5018	 0976-500X	 Journal of pharmacology & pharmacotherapeutics	 38735	 J Pharmacol Pharmacother	 101552113
	 1488-8386	 Biodiversity (Nepean, Ont.)	 38736	 Biodiversity (Nepean)	 101552791
 2090-3146	 2090-3138	 Biotechnology research international	 38737	 Biotechnol Res Int	 101552363
	 1684-7318	 Povolzhskii ekologicheskii zhurnal	 38738	 Povolz Ekol Z	 101552796
 2211-3436	 2211-3428	 Cellular oncology (Dordrecht)	 38739	 Cell Oncol (Dordr)	 101552938
 2080-945X	 1897-2810	 Biodiversity research and conservation	 38740	 Biodivers Res Conserv	 101552848
	 1120-5776	 Ippologia : rivista ufficiale SIVE	 38741	 Ippologia (Cremona)	 9706851
 1940-4344	 1521-9437	 International journal of medicinal mushrooms	 38742	 Int J Med Mushrooms	 100886202
	 1674-7674	 Chinese birds : the international journal of ornithology	 38743	 Chin Birds	 101553560
 2210-741X	 2210-7401	 Clinics and research in hepatology and gastroenterology	 38744	 Clin Res Hepatol Gastroenterol	 101553659
	 1000-3924	 Shanghai nong ye xue bao = Acta agriculturae Shanghai	 38745	 Shanghai Nong Ye Xue Bao	 101553589
 2045-8118		 Fluids and barriers of the CNS	 38746	 Fluids Barriers CNS	 101553157
 1824-307X		 Invertebrate survival journal : ISJ	 38747	 Invertebrate Surviv J	 101233261
 2159-2896		 International journal of sports physical therapy	 38748	 Int J Sports Phys Ther	 101553140
 2045-824X		 Vascular cell	 38750	 Vasc Cell	 101553155
 1558-6332	 1553-3468	 American journal of biochemistry & biotechnology	 38751	 Am J Biochem Biotechnol	 101235327
	 2210-7762	 Cancer genetics	 38752	 Cancer Genet	 101539150
 2379-9544	 2152-4092	 IEEE International Conference on Robotics and Automation : ICRA : [proceedings]. IEEE International Conference on Robotics and Automation	 38753	 IEEE Int Conf Robot Autom	 101518638
 2046-2344	 2046-2336	 Nursing children and young people	 38754	 Nurs Child Young People	 101554473
 0327-9383	 0327-9383	 Mastozoologia neotropical	 38755	 Mastozool Neotrop	 101271561
	 0071-0733	 Journal of the Entomological Society of British Columbia. Entomological Society of British Columbia	 38756	 J Entomol Soc B C	 101554818
 2210-7711	 2210-7703	 International journal of clinical pharmacy	 38757	 Int J Clin Pharm	 101554912
 1557-3796		 The journal of genetic genealogy	 38758	 J Genet Geneal	 101278535
	 0972-8449	 Trends in cell & molecular biology	 38759	 Trends Cell Mol Biol	 101554926
	 0775-0293	 Revue belge de medecine dentaire	 38760	 Rev Belge Med Dent (1984)	 101555375
 2046-1682		 BMC biophysics	 38761	 BMC Biophys	 101555455
	 2190-7307	 Bonn zoological bulletin	 38762	 Bonn Zool Bull	 101555532
	 0125-2526	 Warasan Khana Witthayasat, Mahawitthayalai Chiang Mai = Journal of the Science Faculty of Chiang Mai University	 38763	 Warasan Khana Witthayasat Maha Witthayalai Chiang Mai	 9889204
	 1474-8231	 Advances in health care management	 38764	 Adv Health Care Manag	 101090746
 2090-2387	 1687-1979	 Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology	 38765	 Arab J Gastroenterol	 101298363
	 1858-554X	 Arab journal of nephrology and transplantation	 38766	 Arab J Nephrol Transplant	 101530790
 1758-5910	 1758-5902	 Asian journal of endoscopic surgery	 38767	 Asian J Endosc Surg	 101506753
 2008-4072	 2008-2053	 Journal of injury & violence research	 38768	 J Inj Violence Res	 101535747
	 1105-2333	 Psychiatrike = Psychiatriki	 38769	 Psychiatriki	 101534363
 2013-6463	 1575-0620	 Revista espanola de sanidad penitenciaria	 38770	 Rev Esp Sanid Penit	 101284897
 2155-3718	 2155-370X	 The Synthesis project. Research synthesis report	 38771	 Synth Proj Res Synth Rep	 101540513
 1309-5730	 1018-5615	 Turk patoloji dergisi	 38772	 Turk Patoloji Derg	 9440471
 1860-3572	 1860-7446	 GMS Zeitschrift fur medizinische Ausbildung	 38773	 GMS Z Med Ausbild	 101276035
	 0258-2171	 Turk Mikrobiyoloji Cemiyeti dergisi	 38775	 Turk Mikrobiyol Cemiy Derg	 9424986
	 2095-0357	 Asian Herpetological Research	 38776	 Asian Herpetol Res	 101556146
 1925-6523	 1925-6515	 Chronic diseases and injuries in Canada	 38777	 Chronic Dis Inj Can	 101556266
 2179-6491		 Jornal da Sociedade Brasileira de Fonoaudiologia	 38778	 J Soc Bras Fonoaudiol	 101556333
 1735-7136	 1735-1995	 Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences	 38779	 J Res Med Sci	 101235599
 2008-0255	 1735-3327	 Dental research journal	 38780	 Dent Res J (Isfahan)	 101471186
 2042-8901	 2042-8898	 Interface focus	 38781	 Interface Focus	 101531990
 2008-8213	 2008-7802	 International journal of preventive medicine	 38782	 Int J Prev Med	 101535380
 1949-8454		 World journal of biological chemistry	 38783	 World J Biol Chem	 101546471
 2150-5349		 World journal of gastrointestinal pharmacology and therapeutics	 38784	 World J Gastrointest Pharmacol Ther	 101547456
 2150-5330		 World journal of gastrointestinal pathophysiology	 38785	 World J Gastrointest Pathophysiol	 101547471
 1948-9358		 World journal of diabetes	 38786	 World J Diabetes	 101547524
 2218-4333		 World journal of clinical oncology	 38787	 World J Clin Oncol	 101549149
 2000-2297		 Journal of oral microbiology	 38788	 J Oral Microbiol	 101551049
 2036-7503	 2036-749X	 Pediatric reports	 38789	 Pediatr Rep	 101551542
 2035-8377	 2035-8385	 Neurology international	 38790	 Neurol Int	 101551564
 1869-5760		 Journal of ophthalmic inflammation and infection	 38791	 J Ophthalmic Inflamm Infect	 101553216
 2090-1259	 2090-1240	 AIDS research and treatment	 38792	 AIDS Res Treat	 101553816
 2090-1720	 2090-1712	 International journal of molecular imaging	 38793	 Int J Mol Imaging	 101553817
 2090-3022	 2090-3014	 Journal of drug delivery	 38794	 J Drug Deliv	 101553818
 2090-3049	 2090-3030	 Journal of lipids	 38795	 J Lipids	 101553819
 2090-2735	 2090-2727	 Journal of pregnancy	 38796	 J Pregnancy	 101553823
 2230-9500	 2230-8210	 Indian journal of endocrinology and metabolism	 38797	 Indian J Endocrinol Metab	 101555690
 2233-6087	 2233-6079	 Diabetes & metabolism journal	 38798	 Diabetes Metab J	 101556588
	 1015-0870	 Journal of Bangladesh College of Physicians & Surgeons	 38799	 J Bangladesh Coll Phys Surg	 8711535
 1541-3721	 1047-6938	 Optics and photonics news	 38800	 Opt Photonics News	 9012911
 1878-6316	 1052-2263	 Journal of vocational rehabilitation	 38801	 J Vocat Rehabil	 9200437
	 0964-1866	 Therapeutic communities	 38802	 Ther Communities	 9303634
 1662-0879	 1421-0185	 Swiss journal of psychology : official publication of the Swiss Psychological Society Schweizerische Zeitschrift fur Psychologie = Revue suisse de psychologie	 38803	 Swiss J Psychol	 9437429
 1097-024X	 0038-0644	 Software: practice & experience	 38804	 Softw Pract Exp	 9877055
	 0882-5734	 Flavour and fragrance journal	 38806	 Flavour Fragr J	 9882154
 2666-9323	 1562-918X	 East Asian science, technology, and medicine	 38807	 East Asian Sci Technol Med	 100958243
 1545-8091	 1545-8083	 Current psychosis & therapeutics reports	 38808	 Curr Psychos Ther Rep	 101189450
 2152-0887	 1556-6803	 Journal of women's health physical therapy	 38809	 J Womens Health Phys Therap	 101252559
 1747-1079	 1747-1060	 Journal of organ dysfunction	 38810	 J Organ Dysfunct	 101256321
	 1053-4385	 Bulletin for the history of chemistry	 38811	 Bull Hist Chem	 101273953
 1752-2447	 1752-2439	 Psychosis	 38812	 Psychosis	 101392498
		 American journal of Chinese studies	 38813	 Am J Chin Stud	 101467416
 1573-1928	 1381-2890	 Social psychology of education : an international journal	 38814	 Soc Psychol Educ	 101550788
 2190-6009	 2190-5991	 Journal of cachexia, sarcopenia and muscle	 38815	 J Cachexia Sarcopenia Muscle	 101552883
	 0883-105X	 American studies international	 38816	 Am Stud Int	 101553407
	 0896-8039	 Anglican and Episcopal history	 38817	 Angl Episcop Hist	 101553408
	 0971-7730	 Asian agri-history	 38818	 Asian Agrihist	 101553409
	 1016-4987	 Aschkenas	 38819	 Aschkenas (Wien)	 101553414
 1740-4649	 1478-8810	 Atlantic studies (Abingdon, England)	 38820	 Atl Stud (Abingdon)	 101553417
	 0887-7653	 The American journal of Islamic social sciences	 38822	 Am J Islam Soc Sci	 101553405
	 1092-0013	 Selected papers. Consortium on Revolutionary Europe, 1750-1850	 38823	 Sel Pap Consort Revolut Eur 1759 1850	 101553777
 1468-4365	 0896-7148	 American literary history	 38824	 Am lit Hist	 101553406
	 0267-7768	 Construction history : journal of the Construction History Group	 38825	 Constr Hist	 101553779
	 0882-1240	 Dimensions (New York, N.Y.)	 38826	 Dimensions (N Y N Y)	 101553788
 1467-8403	 1035-7823	 Asian studies review	 38827	 Asian Stud Rev	 101553410
	 0933-5315	 Bios (Leverkusen, Germany)	 38828	 Bios (Leverk)	 101553427
	 0006-4408	 Blatter fur deutsche Landesgeschichte	 38829	 Bl Dtsch Landesgesch	 101553445
	 0894-6825	 Business and economic history : papers presented at the ... annual meeting of the Business History Conference. Business History Conference	 38830	 Bus Econ Hist	 101553514
	 0008-6495	 Caribbean quarterly	 38831	 Caribb Q	 101553695
	 0739-1250	 Communal societies	 38832	 Communal Soc	 101553696
	 0940-3566	 Comparativ : Leipziger Beitrage zur Universalgeschichte und vergleichenden Gesellschaftsforschung	 38833	 Comparativ (Leipz)	 101553701
	 0894-6337	 The European studies journal	 38834	 Eur Stud J	 101554216
 2095-0225	 2095-0217	 Frontiers of medicine	 38835	 Front Med	 101549428
 1465-1963	 2041-353X	 Carbohydrate chemistry	 38836	 Carbohydr Chem	 0242551
	 0506-9920	 Viewpoints on digestive diseases	 38837	 Viewp Dig Dis	 0245120
	 0270-7462	 Critical care	 38838	 Crit Care (Fullerton)	 8208625
	 1063-5823	 Current topics in membranes	 38839	 Curr Top Membr	 9212591
 1540-7012	 1058-2452	 Journal of musculoskeletal pain	 38840	 J Musculoskelet Pain	 9302330
 2169-5067	 1071-1813	 Proceedings of the Human Factors and Ergonomics Society ... Annual Meeting. Human Factors and Ergonomics Society. Annual meeting	 38841	 Proc Hum Factors Ergon Soc Annu Meet	 9420718
	 1172-7039	 Clinical immunotherapeutics	 38842	 Clin Immunother	 9430791
 1743-288X	 1083-3196	 Physical therapy reviews : PTR	 38843	 Phys Ther Rev	 9708265
	 1522-1628	 Graft (Georgetown, Tex.)	 38844	 Graft (Georget Tex)	 9815812
	 1410-7767	 Critical care and shock	 38845	 Crit Care Shock	 101084417
 1568-5586	 1388-9532	 Gene therapy and regulation	 38846	 Gene Ther Regul	 101088566
 1754-2103	 1176-2322	 Applied bionics and biomechanics	 38847	 Appl Bionics Biomech	 101208624
 1558-3910	 1553-345X	 American journal of environmental sciences	 38848	 Am J Environ Sci	 101244032
 1557-0223	 1557-0215	 Acoustics today	 38849	 Acoust Today	 101280973
 1931-7220	 1931-7212	 Current bladder dysfunction reports	 38850	 Curr Bladder Dysfunct Rep	 101299193
 1941-4072	 1941-4064	 Infant, child & adolescent nutrition	 38851	 Infant Child Adolesc Nutr	 101475415
